356,107.21,416,0.17
416,101.09,536,0.09
476,101.43,656,0.06
536,106.18,776,0.05
596,106.16,896,0.03
656,106.63,1016,0.05
716,106.42,1136,0.23
776,106.81,1256,0.32
836,106.67,1376,0.32
896,106.81,1496,0.34
956,106.6,1616,0.33
1016,107.18,2040,0.84
1076,108.16,2160,1.15
1136,112.43,2280,0.34
1196,117.96,2400,0.25
1256,119.75,2520,0.26
1316,119.74,2640,0.24
1376,119.5,2760,0.2
1436,119.55,2880,0.16
1496,120.71,3000,0.17
1556,120.21,3120,0.15
1616,119.33,,
1676,119.24,,
1736,120.27,,
1980,121.38,,
2040,155.35,,
2100,176.03,,
2160,145.45,,
2220,122.29,,
2280,115.85,,
2340,112.92,,
2400,111.68,,
2460,110.41,,
2520,109.93,,
2580,109.24,,
2640,108.45,,
2700,107.68,,
2760,106.99,,
2820,106.1,,
2880,105.37,,
2940,104.31,,
3000,104.02,,
3060,103.67,,
3120,103.36,,
3180,102.26,,
