735,106.19,735,0.03
795,105.33,855,0.11
855,107.71,975,0.05
915,113.91,1095,0.08
975,117.23,1215,0.04
1035,111.48,1335,0.05
1095,109.23,1455,0.2
1155,112.71,1575,0.29
1215,112.22,1695,0.29
1275,108.96,1815,0.32
1335,108.48,1935,0.27
1395,108.06,2430,0.28
1455,108.47,2550,0.5
1515,112.15,2670,0.34
1575,117.16,2790,0.26
1635,119.81,2910,0.24
1695,119.9,3030,0.24
1755,118.98,3150,0.19
1815,118.57,3270,0.23
1875,119.12,3390,0.16
1935,118.93,3510,0.14
1995,118.89,,
2055,117.42,,
2115,117.03,,
2430,116.91,,
2490,125.09,,
2550,129.34,,
2610,122.43,,
2670,119.78,,
2730,117.14,,
2790,115.33,,
2850,115.11,,
2910,113.6,,
2970,113.83,,
3030,113.27,,
3090,112.55,,
3150,112.32,,
3210,111.99,,
3270,111.46,,
3330,110.43,,
3390,109.63,,
3450,108.34,,
3510,106.91,,
3570,106.87,,
3630,106.21,,
